,id,name,geometry
0,72,W 52 St & 11 Ave,POINT (-73.99392888 40.76727216)
4429,79,Franklin St & W Broadway,POINT (-74.00666661 40.71911552)
7173,82,St James Pl & Pearl St,POINT (-74.00016545 40.71117416)
8427,83,Atlantic Ave & Fort Greene Pl,POINT (-73.97632328 40.68382604)
10252,119,Park Ave & St Edwards St,POINT (-73.97803415 40.69608941)
10545,120,Lexington Ave & Classon Ave,POINT (-73.95928168 40.68676793)
11791,127,Barrow St & Hudson St,POINT (-74.00674436 40.73172428)
18110,128,MacDougal St & Prince St,POINT (-74.00297088000001 40.72710258)
24930,143,Clinton St & Joralemon St,POINT (-73.99337909 40.69239502)
27338,144,Nassau St & Navy St,POINT (-73.98068914 40.69839895)
28469,146,Hudson St & Reade St,POINT (-74.00910589999999 40.71625008)
31566,150,E 2 St & Avenue C,POINT (-73.98085795 40.7208736)
35107,151,Cleveland Pl & Spring St,POINT (-73.99724900722505 40.72210378668603)
42892,157,Henry St & Atlantic Ave,POINT (-73.99612349 40.69089272)
45010,161,LaGuardia Pl & W 3 St,POINT (-73.99810230999999 40.72917025)
45584,164,E 47 St & 2 Ave,POINT (-73.97032517 40.75323098)
48526,167,E 39 St & 3 Ave,POINT (-73.97604882 40.7489006)
53108,168,W 18 St & 6 Ave,POINT (-73.99456404999999 40.73971301)
60547,173,Broadway & W 49 St,POINT (-73.98452728986742 40.76068327096592)
67039,174,E 25 St & 1 Ave,POINT (-73.97738662 40.7381765)
70248,195,Liberty St & Broadway,POINT (-74.01043382 40.70905623)
74661,212,W 16 St & The High Line,POINT (-74.00681753000001 40.74334935)
79326,216,Columbia Heights & Cranberry St,POINT (-73.99548059 40.70037867)
80248,217,Old Fulton St,POINT (-73.99383605 40.70277159)
84482,223,W 13 St & 7 Ave,POINT (-73.99994660999999 40.73781509)
88913,228,E 48 St & 3 Ave,POINT (-73.971878855 40.7546011026)
91823,229,Great Jones St,POINT (-73.99379025 40.72743423)
99462,232,Cadman Plaza E & Tillary St,POINT (-73.99014892 40.69597683)
101293,236,St Marks Pl & 2 Ave,POINT (-73.98713956 40.7284186)
107059,237,E 11 St & 2 Ave,POINT (-73.98672378000001 40.73047309)
112929,238,Bank St & Washington St,POINT (-74.00859207000001 40.7361967)
116312,239,Willoughby St & Fleet St,POINT (-73.9813018 40.69196566)
118936,241,DeKalb Ave & S Portland Ave,POINT (-73.97493120999999 40.68981035)
120625,242,Carlton Ave & Flushing Ave,POINT (-73.973736 40.697787)
121702,243,Fulton St & Rockwell Pl,POINT (-73.979382 40.688226)
122842,244,Willoughby Ave & Hall St,POINT (-73.96536851 40.69196035)
124462,245,Myrtle Ave & St Edwards St,POINT (-73.97703874 40.69327018)
125296,247,Perry St & Bleecker St,POINT (-74.00483091 40.73535398)
128191,248,Laight St & Hudson St,POINT (-74.00771779 40.72185379)
129429,249,Harrison St & Hudson St,POINT (-74.0090009 40.71870987)
131088,251,Mott St & Prince St,POINT (-73.99480011999999 40.72317958)
136904,252,MacDougal St & Washington Sq,POINT (-73.99852205000001 40.73226398)
140724,253,W 13 St & 5 Ave,POINT (-73.99453948 40.73543934)
144049,254,W 11 St & 6 Ave,POINT (-73.99800419 40.73532427)
146836,257,Lispenard St & Broadway,POINT (-74.00247213999999 40.71939226)
150581,258,DeKalb Ave & Vanderbilt Ave,POINT (-73.96885458 40.68940747)
152555,259,South St & Whitehall St,POINT (-74.01234218 40.70122128)
156579,260,Broad St & Bridge St,POINT (-74.01167796999999 40.70365182)
157267,261,Johnson St & Gold St,POINT (-73.98362464 40.69474881)
158706,262,Washington Park,POINT (-73.97372990000001 40.6917823)
160003,264,Maiden Ln & Pearl St,POINT (-74.00731853000001 40.70706456)
162409,265,Stanton St & Chrystie St,POINT (-73.99147535 40.72229346)
167850,266,Avenue D & E 8 St,POINT (-73.97574813 40.72368361)
169847,267,Broadway & W 36 St,POINT (-73.98765428 40.75097711)
174075,268,Howard St & Centre St,POINT (-73.99973337 40.71910537)
178356,270,Adelphi St & Myrtle Ave,POINT (-73.97178913 40.69308257)
180102,274,Lafayette Ave & Fort Greene Pl,POINT (-73.976682 40.68691865)
182149,275,Washington Ave & Greene Ave,POINT (-73.96563307 40.68650065)
183320,276,Duane St & Greenwich St,POINT (-74.0104554 40.71748752)
185574,278,Concord St & Bridge St,POINT (-73.98476436999999 40.69766564)
186495,279,Peck Slip & Front St,POINT (-74.00166999999999 40.707873)
190341,280,E 10 St & 5 Ave,POINT (-73.99510132 40.73331967)
193108,281,Grand Army Plaza & Central Park S,POINT (-73.97371465000001 40.7643971)
203584,282,Kent Ave & S 11 St,POINT (-73.96841526031494 40.7076449441757)
205779,285,Broadway & E 14 St,POINT (-73.99074142000001 40.73454567)
215151,289,Monroe St & Classon Ave,POINT (-73.95881081 40.6845683)
216057,291,Madison St & Montgomery St,POINT (-73.984844 40.713126)
217845,293,Lafayette St & E 8 St,POINT (-73.99102628231049 40.73020660529954)
225830,295,Pike St & E Broadway,POINT (-73.99293910999999 40.71406667)
228635,296,Division St & Bowery,POINT (-73.99704679999999 40.71413089)
232334,297,E 15 St & 3 Ave,POINT (-73.986923 40.734232)
237742,298,3 Ave & Schermerhorn St,POINT (-73.9796772 40.68683208)
239414,301,E 2 St & Avenue B,POINT (-73.98368779 40.72217444)
243534,302,Avenue D & E 3 St,POINT (-73.97793172 40.72082834)
245704,303,Mercer St & Spring St,POINT (-73.99949601 40.72362738)
249511,304,Broadway & Battery Pl,POINT (-74.01361706 40.70463334)
254969,305,E 58 St & 3 Ave,POINT (-73.96724467 40.76095756)
259386,306,Cliff St & Fulton St,POINT (-74.00530062999999 40.70823502)
262292,307,Canal St & Rutgers St,POINT (-73.98990025000001 40.71427487)
268340,308,St James Pl & Oliver St,POINT (-73.99851193000001 40.71307916)
270742,309,Murray St & West St,POINT (-74.013012 40.7149787)
274367,310,State St & Smith St,POINT (-73.98912867 40.68926942)
276401,311,Norfolk St & Broome St,POINT (-73.98802084 40.7172274)
279877,312,Allen St & Stanton St,POINT (-73.98911099999999 40.722055)
285380,313,Washington Ave & Park Ave,POINT (-73.96751037 40.69610226)
286857,314,Cadman Plaza West & Montague St,POINT (-73.990539 40.69383)
288929,315,South St & Gouverneur Ln,POINT (-74.00670227000001 40.70355377)
294966,316,Fulton St & William St,POINT (-74.00653609 40.70955958)
297594,317,E 6 St & Avenue B,POINT (-73.98185424 40.72453734)
301339,319,Fulton St & Broadway,POINT (-74.00944699999999 40.711066)
306049,320,Leonard St & Church St,POINT (-74.005549 40.717571)
308448,321,Cadman Plaza E & Red Cross Pl,POINT (-73.98971773 40.69991755)
311316,322,Clinton St & Tillary St,POINT (-73.991218 40.696192)
312931,323,Lawrence St & Willoughby St,POINT (-73.98631746 40.69236178)
313326,324,DeKalb Ave & Hudson Ave,POINT (-73.981013 40.689888)
315609,325,E 19 St & 3 Ave,POINT (-73.98473765 40.73624527)
318901,326,E 11 St & 1 Ave,POINT (-73.98426726 40.72953837)
323725,327,Vesey Pl & River Terrace,POINT (-74.01658354 40.71533789999999)
331630,328,Watts St & Greenwich St,POINT (-74.00965965 40.72405549)
335616,330,Reade St & Broadway,POINT (-74.00562789 40.71450451)
338331,331,Pike St & Monroe St,POINT (-73.99193043 40.71173107)
340259,332,Cherry St,POINT (-73.97948148 40.71219906)
342252,334,W 20 St & 7 Ave,POINT (-73.99726235 40.74238787)
347470,335,Washington Pl & Broadway,POINT (-73.99404649 40.72903917)
350993,336,Sullivan St & Washington Sq,POINT (-73.99906065 40.73047747)
356567,337,Old Slip & Front St,POINT (-74.00838675999999 40.70379920000001)
358762,339,Avenue D & E 12 St,POINT (-73.97422494 40.72580614)
360352,340,Madison St & Clinton St,POINT (-73.98776323 40.71269042)
362443,341,Stanton St & Mangin St,POINT (-73.97628939000001 40.71782143)
364235,342,Columbia St & Rivington St,POINT (-73.98016555 40.71739973)
366160,343,Clinton Ave & Flushing Ave,POINT (-73.96986848 40.69794)
367047,344,Monroe St & Bedford Ave,POINT (-73.95380904 40.6851443)
368291,345,W 13 St & 6 Ave,POINT (-73.99704374 40.73649403)
